"rideable_type","member_casual","day_ride","day_of_week","rid_na","sta_na","end_na","meber_na","err_date","media_min","ndatos","max_min"
"classic_bike","casual","2022-08-25",4,0,0,0,0,0,25.0017787061653,2633,1499.91666666667
"classic_bike","casual","2022-08-26",5,0,0,0,0,0,28.7432985708768,4315,1499.91666666667
"classic_bike","casual","2022-08-27",6,0,0,0,0,0,31.7845908634538,6640,1499.93333333333
"classic_bike","casual","2022-08-28",7,0,0,0,0,0,32.645390625,4480,1499.93333333333
"classic_bike","casual","2022-08-29",1,0,0,0,0,0,27.9089068185414,2107,1499.95
"classic_bike","casual","2022-08-30",2,0,0,0,0,0,25.508952942461,3053,1499.91666666667
"classic_bike","casual","2022-08-31",3,0,0,0,0,0,23.7967106675252,3106,1499.93333333333
"classic_bike","casual","2022-09-01",4,0,0,0,0,0,23.3744761615548,3293,1499.93333333333
"classic_bike","casual","2022-09-02",5,0,0,0,0,0,26.2241455001568,4252,1499.93333333333
"classic_bike","casual","2022-09-03",6,0,0,0,0,0,30.4671508127634,6644,1499.93333333333
"classic_bike","casual","2022-09-04",7,0,0,0,0,0,34.7584226722255,3358,1499.93333333333
"classic_bike","casual","2022-09-05",1,0,0,0,0,0,30.624543584469,3889,1499.9
"classic_bike","casual","2022-09-06",2,0,0,0,0,0,24.1807893485497,2804,1499.91666666667
"classic_bike","casual","2022-09-07",3,0,0,0,0,0,26.1456851436505,3121,1499.93333333333
"classic_bike","casual","2022-09-08",4,0,0,0,0,0,24.4837361842785,3227,1499.88333333333
"classic_bike","casual","2022-09-09",5,0,0,0,0,0,30.2040950958427,4017,1499.93333333333
"classic_bike","casual","2022-09-10",6,0,0,0,0,0,29.1732778844103,6252,1499.93333333333
"classic_bike","casual","2022-09-11",7,0,0,0,0,0,38.3553905390539,1212,1499.93333333333
"classic_bike","casual","2022-09-12",1,0,0,0,0,0,26.5711068211068,1813,1499.93333333333
"classic_bike","casual","2022-09-13",2,0,0,0,0,0,26.3700052784376,2526,1499.91666666667
"classic_bike","casual","2022-09-14",3,0,0,0,0,0,24.4137544802867,2976,1499.9
"classic_bike","casual","2022-09-15",4,0,0,0,0,0,24.9331557862151,3661,1499.93333333333
"classic_bike","casual","2022-09-16",5,0,0,0,0,0,27.8700327476541,5293,1499.93333333333
"classic_bike","casual","2022-09-17",6,0,0,0,0,0,27.3814051189245,7736,1499.93333333333
"classic_bike","casual","2022-09-18",7,0,0,0,0,0,29.2214696291383,6031,1499.95
"classic_bike","casual","2022-09-19",1,0,0,0,0,0,22.0982695182247,2899,1499.91666666667
"classic_bike","casual","2022-09-20",2,0,0,0,0,0,25.2540739185216,2381,1499.95
"classic_bike","casual","2022-09-21",3,0,0,0,0,0,24.8788810213496,3107,1499.93333333333
"classic_bike","casual","2022-09-22",4,0,0,0,0,0,25.6412427409988,2870,1499.9
"classic_bike","casual","2022-09-23",5,0,0,0,0,0,25.7394964364996,2853,1499.91666666667
"classic_bike","casual","2022-09-24",6,0,0,0,0,0,27.6180746216121,4735,1499.91666666667
"classic_bike","casual","2022-09-25",7,0,0,0,0,0,29.6724298196691,3586,1499.91666666667
"classic_bike","casual","2022-09-26",1,0,0,0,0,0,23.8488580246914,2160,1499.93333333333
"classic_bike","casual","2022-09-27",2,0,0,0,0,0,19.1354241645244,1945,1499.91666666667
"classic_bike","casual","2022-09-28",3,0,0,0,0,0,21.7871681415929,1921,1499.9
"classic_bike","casual","2022-09-29",4,0,0,0,0,0,20.9076739681121,2237,1499.91666666667
"classic_bike","casual","2022-09-30",5,0,0,0,0,0,29.3252717391304,2576,1499.93333333333
"classic_bike","casual","2022-10-01",6,0,0,0,0,0,31.2297333333333,4250,1499.91666666667
"classic_bike","casual","2022-10-02",7,0,0,0,0,0,26.6252157686028,2858,1499.93333333333
"classic_bike","casual","2022-10-03",1,0,0,0,0,0,23.8415120087336,1832,1499.91666666667
"classic_bike","casual","2022-10-04",2,0,0,0,0,0,22.5401191658391,2014,1499.91666666667
"classic_bike","casual","2022-10-05",3,0,0,0,0,0,23.1360595597756,2317,1499.91666666667
"classic_bike","casual","2022-10-06",4,0,0,0,0,0,22.004246031746,1680,1499.91666666667
"classic_bike","casual","2022-10-07",5,0,0,0,0,0,23.5145319634703,1460,1499.91666666667
"classic_bike","casual","2022-10-08",6,0,0,0,0,0,26.568260269244,2897,1499.91666666667
"classic_bike","casual","2022-10-09",7,0,0,0,0,0,33.3359358687547,4470,1499.91666666667
"classic_bike","casual","2022-10-10",1,0,0,0,0,0,28.0547514910537,2515,1499.91666666667
"classic_bike","casual","2022-10-11",2,0,0,0,0,0,29.8738976256553,1081,1499.91666666667
"classic_bike","casual","2022-10-12",3,0,0,0,0,0,19.0679197994987,1197,1499.83333333333
"classic_bike","casual","2022-10-13",4,0,0,0,0,0,29.4113543976349,1804,1499.93333333333
"classic_bike","casual","2022-10-14",5,0,0,0,0,0,25.9010279965004,1524,1499.83333333333
"classic_bike","casual","2022-10-15",6,0,0,0,0,0,25.9762503677552,2266,1499.9
"classic_bike","casual","2022-10-16",7,0,0,0,0,0,25.4938001233806,1621,1499.91666666667
"classic_bike","casual","2022-10-17",1,0,0,0,0,0,23.1345534069982,724,1499.9
"classic_bike","casual","2022-10-18",2,0,0,0,0,0,32.8547253258845,716,1499.91666666667
"classic_bike","casual","2022-10-19",3,0,0,0,0,0,21.6328756674294,874,1499.88333333333
"classic_bike","casual","2022-10-20",4,0,0,0,0,0,20.3461460151251,1146,1499.78333333333
"classic_bike","casual","2022-10-21",5,0,0,0,0,0,24.4087890625,2304,1499.9
"classic_bike","casual","2022-10-22",6,0,0,0,0,0,32.2001912631015,4357,1499.91666666667
"classic_bike","casual","2022-10-23",7,0,0,0,0,0,32.770415834047,3503,1499.93333333333
"classic_bike","casual","2022-10-24",1,0,0,0,0,0,22.3102831050228,1825,1499.9
"classic_bike","casual","2022-10-25",2,0,0,0,0,0,46.1901515151515,440,1499.9
"classic_bike","casual","2022-10-26",3,0,0,0,0,0,24.3901625320787,1169,1499.91666666667
